,neighbourhood,availability_365,average_weekly_revenue
0,"10minwalktodogpatch,mission,soma.walkingdistancetowholefoods,anchorsteambrewery,plow,farleyscoffee.newlyremodeledpubliclibrarya10minwalkaway.potrerohillisknownforitsbreathtakingdowntownviews,great,eclecticvibe,an",79.0,764.5
1,bayview,150.0,434.13461538461536
2,bernalheights,73.0,842.3076923076923
3,chinatown,61.0,1046.4615384615386
4,crockeramazon,212.0,291.28846153846155
5,dalycity,97.0,1633.7692307692307
6,diamondheights,90.0,994.2307692307693
7,downtown,24.5,982.2115384615385
8,excelsior,96.5,506.0192307692308
9,financialdistrict,61.0,1315.3846153846155
10,glenpark,113.5,846.3942307692307
11,haightashbury,77.0,936.0
12,innersunset,51.0,785.0
13,lakeshore,71.0,672.8076923076923
14,marina,56.5,1453.5096153846155
15,missiondistrict,39.0,1034.423076923077
16,missionterrace,215.5,287.5
17,nobhill,25.0,1013.4615384615385
18,noevalley,83.0,1079.1923076923076
19,northbeach,89.0,1194.2307692307693
20,oceanview,168.5,408.11538461538464
21,outermission,115.0,620.1923076923077
22,outersunset,105.0,675.0
23,pacificheights,82.0,1159.2115384615386
24,parkside,91.0,579.6153846153846
25,potrerohill,73.0,1123.076923076923
26,presidio,291.5,353.36538461538464
27,presidioheights,13.5,2027.8846153846155
28,richmonddistrict,75.5,857.3653846153846
29,russianhill,24.0,1639.423076923077
30,seacliff,31.0,950.6153846153846
31,soma,39.0,1184.8846153846155
32,sunsetdistrict,27.0,3120.0
33,thecastro,69.0,1104.3076923076924
34,twinpeaks,86.0,804.8076923076923
35,visitacionvalley,130.0,542.3076923076923
36,westernaddition,27.0,1196.0
37,westoftwinpeaks,183.0,451.5
